,image,label
0,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00001.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00001.tif
1,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00002.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00002.tif
2,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00003.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00003.tif
3,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00004.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00004.tif
4,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00005.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00005.tif
5,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00006.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00006.tif
6,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00007.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00007.tif
7,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00008.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00008.tif
8,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00009.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00009.tif
9,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00010.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00010.tif
10,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00011.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00011.tif
11,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00012.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00012.tif
12,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00013.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00013.tif
13,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00014.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00014.tif
14,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00015.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00015.tif
15,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00016.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00016.tif
16,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00017.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00017.tif
17,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00018.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00018.tif
18,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00019.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00019.tif
19,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00020.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00020.tif
20,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00021.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00021.tif
21,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00022.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00022.tif
22,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00023.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00023.tif
23,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00024.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00024.tif
24,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00025.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00025.tif
25,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00026.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00026.tif
26,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00027.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00027.tif
27,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00028.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00028.tif
28,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00029.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00029.tif
29,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00030.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00030.tif
30,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00031.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00031.tif
31,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00032.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00032.tif
32,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00033.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00033.tif
33,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00034.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00034.tif
34,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00035.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00035.tif
35,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00036.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00036.tif
36,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00037.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00037.tif
37,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00038.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00038.tif
38,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00039.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00039.tif
39,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00040.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00040.tif
40,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00041.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00041.tif
41,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00042.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00042.tif
42,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00043.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00043.tif
43,F:/ISPRS/Creat Datasets/experimental dataset/val/top/00044.tif,F:/ISPRS/Creat Datasets/experimental dataset/val/label/00044.tif
